service_id,date,exception_type
FE-U,20220427,2
FE-U,20220426,2
FE-U,20220425,2
FE-U,20220422,2
FE-U,20220421,2
FE-U,20220420,2
FE-U,20220419,2
FE-U,20221216,2
FE-U,20220815,2
FE-U,20221215,2
FE-U,20221214,2
FE-U,20221213,2
FE-U,20221212,2
FE-U,20221209,2
FE-U,20220408,2
FE-U,20221208,2
FE-U,20220407,2
FE-U,20221207,2
FE-U,20220406,2
FE-U,20221206,2
FE-U,20220405,2
FE-U,20221205,2
FE-U,20220404,2
FE-U,20221202,2
FE-U,20220401,2
FE-U,20221201,2
FE-U,20220131,2
FE-U,20220531,2
FE-U,20220530,2
FE-U,20220930,2
FE-U,20220929,2
FE-U,20220128,2
FE-U,20220928,2
FE-U,20220127,2
FE-U,20220527,2
FE-U,20220927,2
FE-U,20220126,2
FE-U,20220526,2
FE-U,20220926,2
FE-U,20220125,2
FE-U,20220525,2
FE-U,20220124,2
FE-U,20220524,2
FE-U,20220523,2
FE-U,20220923,2
FE-U,20220922,2
FE-U,20220121,2
FE-U,20220921,2
FE-U,20220120,2
FE-U,20220520,2
FE-U,20220920,2
FE-U,20220119,2
FE-U,20220519,2
FE-U,20220919,2
FE-U,20220118,2
FE-U,20220518,2
FE-U,20220117,2
FE-U,20220517,2
FE-U,20220516,2
FE-U,20220916,2
FE-U,20220915,2
FE-U,20220114,2
FE-U,20220914,2
FE-U,20220113,2
FE-U,20220513,2
FE-U,20220913,2
FE-U,20220112,2
FE-U,20220512,2
FE-U,20220912,2
FE-U,20220111,2
FE-U,20220511,2
FE-U,20220110,2
FE-U,20220510,2
FE-U,20220509,2
FE-U,20220506,2
FE-U,20220505,2
FE-U,20220504,2
FE-U,20220503,2
FE-U,20220502,2
FE-U,20221031,2
FE-U,20220630,2
FE-U,20220629,2
FE-U,20220228,2
FE-U,20221028,2
FE-U,20220628,2
FE-U,20220627,2
FE-U,20221027,2
FE-U,20221026,2
FE-U,20220225,2
FE-U,20221025,2
FE-U,20220624,2
FE-U,20220224,2
FE-U,20221024,2
FE-U,20220623,2
FE-U,20220223,2
FE-U,20220622,2
FE-U,20220222,2
FE-U,20220221,2
FE-U,20220621,2
FE-U,20221021,2
FE-U,20220620,2
FE-U,20221020,2
FE-U,20221019,2
FE-U,20220218,2
FE-U,20221018,2
FE-U,20220617,2
FE-U,20220217,2
FE-U,20221017,2
FE-U,20220216,2
FE-U,20220616,2
FE-U,20220215,2
FE-U,20220615,2
FE-U,20220214,2
FE-U,20220614,2
FE-U,20221014,2
FE-U,20220613,2
FE-U,20221013,2
FE-U,20221012,2
FE-U,20220211,2
FE-U,20221011,2
FE-U,20220210,2
FE-U,20220610,2
FE-U,20221010,2
FE-U,20220209,2
FE-U,20220609,2
FE-U,20220208,2
FE-U,20220608,2
FE-U,20220207,2
FE-U,20220607,2
FE-U,20221007,2
FE-U,20220606,2
FE-U,20221006,2
FE-U,20221005,2
FE-U,20220204,2
FE-U,20221004,2
FE-U,20220203,2
FE-U,20220603,2
FE-U,20221003,2
FE-U,20220202,2
FE-U,20220602,2
FE-U,20220201,2
FE-U,20220601,2
FE-U,20220331,2
FE-U,20220330,2
FE-U,20221130,2
FE-U,20220329,2
FE-U,20221129,2
FE-U,20220328,2
FE-U,20221128,2
FE-U,20220325,2
FE-U,20221125,2
FE-U,20220324,2
FE-U,20221124,2
FE-U,20220323,2
FE-U,20221123,2
FE-U,20220322,2
FE-U,20221122,2
FE-U,20220321,2
FE-U,20221121,2
FE-U,20220318,2
FE-U,20221118,2
FE-U,20220317,2
FE-U,20221117,2
FE-U,20220316,2
FE-U,20221116,2
FE-U,20220315,2
FE-U,20221115,2
FE-U,20220314,2
FE-U,20221114,2
FE-U,20220311,2
FE-U,20221111,2
FE-U,20220310,2
FE-U,20221110,2
FE-U,20220309,2
FE-U,20221109,2
FE-U,20220308,2
FE-U,20221108,2
FE-U,20220307,2
FE-U,20221107,2
FE-U,20220304,2
FE-U,20221104,2
FE-U,20220303,2
FE-U,20221103,2
FE-U,20220302,2
FE-U,20221102,2
FE-U,20221101,2
